article_no,date,verification_inv002,post_id,title,keywords,relevance,reuse_policy,claim_posture,traceability_links,word_count,external_links,actors,mechanisms,dimensions,central_claim_from_corpus,evidence_anchors_from_index,explicit_limits_refutations,gaps_reuse_warning,url
52,2026-04-05,NOT_REVERIFIED,193239406.oak-island-le-mecanisme-de-capture,🕳️ Oak Island : le mécanisme de capture cognitive,"système, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,5248,32,UE,CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN|PSYCHO_COMPORTEMENT,PSYCHOLOGIQUE,Légende fondatrice falsifiée.,"Le découvreur n'était pas un ado de 16 ans (histoire officielle) mais Donald MacInnes (37 ans, marié, vivant sur l'île). Documents « templiers » : faux avérés — anachronismes accablants (CHENE au lieu de CHAISNE en 1347, citation de Paul Valéry 1925 dans un document du XIVe siècle, erreurs de non-francophone), trois documents rédigés par la même main.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/oak-island-le-mecanisme-de-capture
53,2026-04-03,NOT_REVERIFIED,193017697.comment-la-richesse-verrouille-le,🔒 Comment la richesse verrouille le système,"système, économie, résistance",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,4671,16,UE|ENTREPRISES_FINANCE,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|DEPENDANCE_ECONOMIQUE,JURIDIQUE|ECONOMIQUE,"Circuit financier mondial : système fermé à cinq maillons, chacun avec sa contradiction actionnable.","Circuit financier mondial : système fermé à cinq maillons, chacun avec sa contradiction actionnable. Maillon 1 — dette sans réinitialisation : banques créent monnaie ex nihilo (97% masse monétaire, Banque d'Angleterre 2014) mais pas les intérêts, exigeant croissance infinie (330% PIB mondial, IFI 2025).",,,https://giak.substack.com/p/comment-la-richesse-verrouille-le
54,2026-03-31,NOT_REVERIFIED,192726440.le-vampire-de-la-croissance,🩸LE VAMPIRE DE LA CROISSANCE,"système, économie, Europe, environnement",CONTEXT,CONTEXT_ONLY,MIXED,RICH,2847,33,UE,DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE|SCIENCE_EXPERTISE,TECHNIQUE|ECONOMIQUE,Le débat croissance vs décroissance est un leurre : le système est un moteur d'extraction pur.,"PIB mondial 100 000 Md$ vs recherche décroissance 10 M€ — match joué d'avance. Kuznets a inventé le PIB en 1934 pour quantifier l'effort de guerre, pas le bien-être.","Limites planétaires : 6/9 dépassées (Nature), faune −73% depuis 1970, 95% sols dégradés d'ici 2050. Découplage absolu non prouvé (Nature/Lancet). e/acc : Brivael Le Pogam (Argil AI, Y Combinator 4,9 M€) = écosystème tech qui bénéficie d'un monde sans limites, mais IA consomme + que ce qu'elle prétend économiser.",,https://giak.substack.com/p/le-vampire-de-la-croissance
55,2026-03-29,NOT_REVERIFIED,192483249.ce-nest-pas-du-satanisme-cest-une,🜏 Ce n’est pas du satanisme. C’est une pathologie de caste.,"système, Europe, corruption",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4566,46,ETAT_FR|UE|USA,CAPTURE_INSTITUTIONNELLE|CORRUPTION_TRAFFIC,ANTHROPOLOGIQUE|POLITIQUE,Thèse : le « satanisme » des élites cache une pathologie de caste bien réelle.,"3 couches Macron : (1) littérale — « bête » dans FT = métaphore de choc, pas apocalypse ; (2) rhétorique — choix lexical délibéré ; (3) clinique — Marc Joly (perversion narcissique), Catherine Nay (« logique illogique »), Alain Minc (« narcissisme pathologique »). Grooming : Macron rencontre Brigitte à 14 ans (elle 39, sa prof), parents ne portent pas plainte — mécanisme documenté.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/ce-nest-pas-du-satanisme-cest-une
56,2026-03-27,NOT_REVERIFIED,192351575.le-reseau-qui-nous-facture,🔍 Le réseau qui nous facture,"Europe, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2459,24,ETAT_FR|UE|PLATEFORMES_BIGTECH|LOBBIES_THINKTANKS|CHINE,FINANCEMENT_FLUX|LOBBYING_RESEAUX|DROIT_REGULATION|GUERRE_SECURITE,JURIDIQUE|TECHNIQUE|ECONOMIQUE,Monopole privé transnational sur la facturation européenne.,"OpenPeppol : AISBL belge = seul canal légal pour factures électroniques en Europe (Belgique janv.2026, France sept.2026, toute UE 2028). Créé par financement public (2008), devenu obligatoire par la loi (ViDA mars 2025).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-reseau-qui-nous-facture
57,2026-03-27,NOT_REVERIFIED,192293819.la-democratie-en-cage,🔒LA DÉMOCRATIE EN CAGE,"agriculture, démocratie, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3507,30,ETAT_FR|UE|PLATEFORMES_BIGTECH|PARTIS_ELUS|ONG_FONDATIONS|LOBBIES_THINKTANKS|RUSSIE|ISRAEL,MODERATION_CENSURE|DROIT_REGULATION|INGERENCE_ETRANGERE|ELECTION_CONSENTEMENT|COERCITION_ADMIN,JURIDIQUE|POLITIQUE,Le piège : ingérence étrangère (réelle) justifie contrôle institutionnel (excessif) qui nourrit défiance → vulnérabilité à la manipulation → + de contrôle.,"Storm-1516 : Viginum documente 77 opérations (mai 2025), faux sites info locale, usurpation logos, 25 tentatives visant élections FR. ELNET : 101 voyages parlementaires en Israël (2017-2024), zéro enregistrement HATVP (loi Sapin 2), gouvernement Netanyahu subventionne (37 664€).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/la-democratie-en-cage
58,2026-03-24,NOT_REVERIFIED,191802696.la-guerre-des-autres,🔥 LA GUERRE DES AUTRES,"défense, Europe, géopolitique",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,3753,44,UE|USA|RUSSIE|ISRAEL|CHINE|IRAN,INGERENCE_ETRANGERE|GUERRE_SECURITE,,"24 jours, un conflit qui a déjà redessiné le monde.","24 jours, un conflit qui a déjà redessiné le monde. Le Mossad remplace la CIA comme source de renseignement du président US.",,98% des fichiers restent classifiés.,https://giak.substack.com/p/la-guerre-des-autres
59,2026-03-17,NOT_REVERIFIED,191154925.pourquoi-les-electeurs-francais-votent,🗳️ Pourquoi les électeurs français votent pour leurs bourreaux,"système, démocratie, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2396,31,ETAT_FR|UE|PLATEFORMES_BIGTECH|LOBBIES_THINKTANKS|USA,LOBBYING_RESEAUX|MODERATION_CENSURE|CORRUPTION_TRAFFIC|ELECTION_CONSENTEMENT,POLITIQUE|SOCIALE,44% abstention municipales 2026 (record Ve République).,"44% abstention municipales 2026 (record Ve République). Pourquoi : (1) corruption 120 Md€/an (Rand Europe pour Parlement européen), +51% atteintes probité 2016-2024, 65% Français jugent politiques corrompus ; (2) clientélisme (+30% subventions aux communes dirigées par ex-ministre, Marseille fausses procurations 14 condamnations) ; (3) verrouillage médiatique : 9 milliardaires >80% médias, confiance médias chute 45%→32% en 10 ans ; (4) lobbying : 37% amendements copiés-collés FNSEA (Politis 2025) ; (5) censure systémique : DSA Europe + ARCOM France + plateformes (X/Meta/TikTok/YouTube procès addiction USA) + ingérences étrangères (25 détectées Viginum 2024, 141 faux sites d'info locale pour municipales 2026) ; (6) précarité ×2 abstention (20% plus pauvres), 15,4% sous seuil pauvreté (plus haut depuis 1996).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/pourquoi-les-electeurs-francais-votent
60,2026-03-12,NOT_REVERIFIED,190739827.le-sabotage-energetique-francais,⚛️ LE SABOTAGE ÉNERGÉTIQUE FRANÇAIS,"énergie, Europe",CONTEXT,CONTEXT_ONLY,MIXED,RICH,2598,27,ETAT_FR|UE|ENTREPRISES_FINANCE|RUSSIE|ALLEMAGNE|CHINE,DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE,POLITIQUE|ECONOMIQUE,"3 saboteurs, un seul résultat : l'appauvrissement énergétique français.","3 saboteurs, un seul résultat : l'appauvrissement énergétique français. Socialistes : Hollande promet fermeture Fessenheim (2011), pacte électoral Verts, LTÉ (Royal 2015) plafonne nucléaire.",,,https://giak.substack.com/p/le-sabotage-energetique-francais
61,2026-03-11,NOT_REVERIFIED,190587326.ue-mercosur-le-mensonge-sanitaire,🧪UE-Mercosur : le mensonge sanitaire qui change tout,"agriculture, Europe, santé",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,2182,18,ETAT_FR|UE|ENTREPRISES_FINANCE|ALLEMAGNE,CADRAGE_NARRATIF|ELECTION_CONSENTEMENT,POLITIQUE|ECONOMIQUE|SOCIALE|NARRATIVE|SCIENTIFIQUE,Timeline du mensonge : oct.2024 — audit UE confirme Brésil incapable de garantir bœuf sans hormones.,Timeline du mensonge : oct.2024 — audit UE confirme Brésil incapable de garantir bœuf sans hormones. Déc.2024 — UE signe Mercosur.,,,https://giak.substack.com/p/ue-mercosur-le-mensonge-sanitaire
62,2026-03-09,NOT_REVERIFIED,190192234.le-grand-manege-de-la-depossession,🎡 LE GRAND MANÈGE DE LA DÉPOSSESSION : LE TRAVAIL EN FRANCE,"système, économie, travail",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,MEDIUM,1932,0,,FINANCEMENT_FLUX|CAPTURE_INSTITUTIONNELLE|DEPENDANCE_ECONOMIQUE,ECONOMIQUE|SOCIALE|SCIENTIFIQUE,Contrat social en faillite.,"Contrat social en faillite. Productivité ×3,5 depuis 1979 mais salaire médian réel stagnant — divergence 43 points (EPI 2024).",,,https://giak.substack.com/p/le-grand-manege-de-la-depossession
63,2026-03-04,NOT_REVERIFIED,189855247.le-sanctuaire-inverse-comment-la,☢️ Le sanctuaire inversé : comment la France a vendu son âme nucléaire en prétendant la sauver,"contrôle, énergie, défense, industrie",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,3695,14,ETAT_FR|ENTREPRISES_FINANCE|USA|ALLEMAGNE|GOLFE,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|COERCITION_ADMIN|GUERRE_SECURITE,JURIDIQUE|POLITIQUE|ECONOMIQUE,"60 ans après le retrait de l'OTAN (1966), Macron fait l'inverse depuis l'Île Longue.","60 ans après le retrait de l'OTAN (1966), Macron fait l'inverse depuis l'Île Longue. 2 mars 2026 : « dissuasion avancée » avec 8 pays (UK, Allemagne, Pologne, Pays-Bas, Belgique, Grèce, Suède, Danemark).","Concept vide défini nulle part, cadre juridique absent, coûts infrastructure inconnus.","Concept vide défini nulle part, cadre juridique absent, coûts infrastructure inconnus.",https://giak.substack.com/p/le-sanctuaire-inverse-comment-la
64,2026-03-02,NOT_REVERIFIED,189647946.lempire-des-miettes,🥀L’EMPIRE DES MIETTES,"système, défense, Europe, géopolitique, corruption",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,NONE_IN_EXPORT,2106,0,UE|ENTREPRISES_FINANCE|USA|IRAN|GOLFE,FINANCEMENT_FLUX|CORRUPTION_TRAFFIC|GUERRE_SECURITE,,"Théâtre d'Oman : « significant progress » 26 fév., « breakthrough » 27 fév., bombes US sur Téhéran 28 fév. à 1h15.","Théâtre d'Oman : « significant progress » 26 fév., « breakthrough » 27 fév., bombes US sur Téhéran 28 fév. à 1h15. Circuit Netanyahu-Trump : 11 fév.",,"Ari Ben-Menashe (ex-Mossad, avait révélé Iran-Contra) : « Netanyahu sabotera l'accord en publiant les fichiers Epstein les plus dommageables contre Trump. » 98% des fichiers restent classifiés.",https://giak.substack.com/p/lempire-des-miettes
65,2026-02-26,NOT_REVERIFIED,189043675.la-machine-a-silence,🔇 La Machine à Silence,"système, contrôle, Europe, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,3955,0,ETAT_FR|UE|PLATEFORMES_BIGTECH|LOBBIES_THINKTANKS,LOBBYING_RESEAUX|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|COERCITION_ADMIN|GUERRE_SECURITE,JURIDIQUE|TECHNIQUE,10 ans de construction (2015-2026) de l'arsenal de contrôle numérique.,10 ans de construction (2015-2026) de l'arsenal de contrôle numérique. EUIF (2015) → GIFCT (14 catégories borderline content) → DSA (2022) → SREN (2024) → loi Miller (janv.2026).,,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/la-machine-a-silence
66,2026-02-24,NOT_REVERIFIED,188933060.le-piege-knafo-cheval-de-troie-dune,🎭 LE PIÈGE KNAFO : CHEVAL DE TROIE D’UNE OPA TECHNOCRATIQUE,Europe,SUPPORTING,SUPPORT_RECHECK,MIXED,MEDIUM,1968,6,UE,FINANCEMENT_FLUX|MEDIAS_AGENDA|GUERRE_SECURITE,ANTHROPOLOGIQUE|POLITIQUE,OPA technocratique sur la droite.,"Hologramme : Knafo = ENA (promotion Molière 2018-2020), Cour des Comptes (20 mois, zéro rapport publié), 1 mois renfort COVID en préfecture. Convoquée comité déontologie déc.2025 pour critiques Moscovici.",,,https://giak.substack.com/p/le-piege-knafo-cheval-de-troie-dune
67,2026-02-22,NOT_REVERIFIED,188810196.le-gulag-digital-surveilles-a-100,"⛓️ Le gulag digital : surveillés à 100%, protégés à 0%","contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2277,16,ETAT_FR|UE,LOBBYING_RESEAUX|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN,TECHNIQUE|SCIENTIFIQUE,"Surveillés à 100%, protégés à 0%.","Surveillés à 100%, protégés à 0%. Hémorragie 2026 : HubEE (160k dossiers), Armée de Terre (4,5 Go classifiés), CNRS (RIB+Sécu), FICOBA (1,2M comptes bancaires), IDMerit (1 Md dossiers dont 52M Français — scans passeports, zéro mot de passe).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-gulag-digital-surveilles-a-100
68,2026-02-11,NOT_REVERIFIED,187674415.le-triangle-de-la-capture-le-mecanisme,🔺 Le triangle de la capture : Le mécanisme qui gouverne la France,"système, contrôle",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,5441,0,ETAT_FR|PARTIS_ELUS|ENTREPRISES_FINANCE|LOBBIES_THINKTANKS,FINANCEMENT_FLUX|LOBBYING_RESEAUX|CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN,POLITIQUE,"Cas Montchalin : d'AXA (lobbying) à la Cour des Comptes à vie (2053) en 11 ans, sans jamais avoir été fonctionnaire.","Cas Montchalin : d'AXA (lobbying) à la Cour des Comptes à vie (2053) en 11 ans, sans jamais avoir été fonctionnaire. Triangle de la capture à trois sommets : (1) cabinets conseil (McKinsey, BCG — Office Friday juin 2016 pour Macron, contrat BCG 358 200€ avec État pendant que mari est partner) ; (2) technocrates privés (HEC + Harvard → BNP Paribas/AXA → 5 ministères → Cour Comptes) ; (3) institutions (ministères + Cour).",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/le-triangle-de-la-capture-le-mecanisme
69,2026-02-09,NOT_REVERIFIED,187436825.darwin-et-evolution-enquete-sur-les,🪞Darwin et évolution : enquête sur les mensonges croisés entre science et créationnisme,"défense, Europe, géopolitique, philosophie",CONTEXT,CONTEXT_ONLY,ASSERTIVE,MEDIUM,7632,0,UE,GUERRE_SECURITE|SCIENCE_EXPERTISE,SOCIALE|SCIENTIFIQUE,Guerre culturelle où les deux camps manipulent.,"Fraudes maintenues : Haeckel (1866) — dessins embryons truqués, toujours dans manuels 2024 (McGraw Hill, Pearson, Campbell Biology). Science solide : consensus 99% biologistes, preuves convergentes (fossiles, ADN, biologie moléculaire).",,,https://giak.substack.com/p/darwin-et-evolution-enquete-sur-les
70,2026-02-08,NOT_REVERIFIED,187237034.de-lombre-des-cavernes-a-lecran-lumineux,🏔️ De l’Ombre des Cavernes à l’Écran Lumineux,"contrôle, philosophie",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,4329,0,PLATEFORMES_BIGTECH,SURVEILLANCE_DONNEES|COERCITION_ADMIN,TECHNIQUE|ANTHROPOLOGIQUE|POLITIQUE|SCIENTIFIQUE,Thèse : la crédulité n'est pas un bug mais une caractéristique évolutive — et le système l'a industrialisée en 7 stations.,"Thèse : la crédulité n'est pas un bug mais une caractéristique évolutive — et le système l'a industrialisée en 7 stations. HADD (Barrett) : détection hyperactive d'agents = avantage sélectif (faux négatif = mort, faux positif = dépense minimale).",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/de-lombre-des-cavernes-a-lecran-lumineux
71,2026-02-06,NOT_REVERIFIED,186904003.larchitecture-de-la-censure-europeenne,☭ L’Architecture de la censure Européenne : Une machine de contrôle sans précédent,"système, médias, contrôle, Europe, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,MEDIUM,7221,4,UE|PLATEFORMES_BIGTECH|PARTIS_ELUS,MODERATION_CENSURE|SURVEILLANCE_DONNEES|ELECTION_CONSENTEMENT|COERCITION_ADMIN|GUERRE_SECURITE,TECHNIQUE,Machine de censure sans précédent.,"72 ans d'évolution, 7 périodes : (1) Guerre froide (HUAC, McCarthy, Mockingbird, COINTELPRO) ; (2) Vietnam (embedded, Pentagon Papers) ; (3) Concentration médiatique (6 conglomérats 90% info mondiale) ; (4) Internet & surveillance (Patriot Act, Data Retention, PRISM, Snowden) ; (5) Réseaux sociaux (Arab Spring → répression, WikiLeaks, SOPA/PIPA) ; (6) Plateformes (2016-2022 : fake news → DSA) ; (7) IA & contrôle total (2022-2026 : DSA, EUIF, GIFCT). Preuves : shadowbanning député Vandendriessche 10 mois (Meta condamnée 27 279€).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/larchitecture-de-la-censure-europeenne
72,2026-02-04,NOT_REVERIFIED,186844276.tristan-mendes-france-la-machine,🎭Tristan Mendès France : la machine à effacer,"système, contrôle, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,2393,0,ETAT_FR|ENTREPRISES_FINANCE|ONG_FONDATIONS,FINANCEMENT_FLUX|CADRAGE_NARRATIF|COERCITION_ADMIN|DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE|SCIENCE_EXPERTISE,ECONOMIQUE|NARRATIVE|SCIENTIFIQUE,Architecte du contrôle narratif français.,"Anomalie académique : DEA (Master 2) 1996, thèse abandonnée 2001 (« Juif comme épidémie »). Nommé MCF associé Paris-Cité (2018) sans PhD — Décret 85-733 exige 7 ans expérience pertinente, il était assistant parlementaire.",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/tristan-mendes-france-la-machine
73,2026-02-03,NOT_REVERIFIED,186775451.ils-ont-quitte-lhumanite,⚫ ILS ONT QUITTÉ L’HUMANITÉ,"système, Europe, philosophie",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,3130,0,UE|MEDIAS|USA,MEDIAS_AGENDA|CAPTURE_INSTITUTIONNELLE,ANTHROPOLOGIQUE|ETHIQUE,Autopsie d'une caste qui a industrialisé la prédation.,"Affaire de Lille (fév.2026) : 10 hommes jugés pour viol d'un enfant de 5 ans, le père participait, 3-MMC (drogue qui abolit l'empathie). Epstein : formé comme agent du Mossad (documents FBI).",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/ils-ont-quitte-lhumanite
74,2026-01-30,NOT_REVERIFIED,186286764.ce-que-macron-appelle-protection,🕸️ Ce que Macron appelle “protection des enfants” cache une architecture de contrôle en construction depuis 2020,"système, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,2444,0,ETAT_FR|UE|ONG_FONDATIONS|LOBBIES_THINKTANKS,LOBBYING_RESEAUX|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN|PSYCHO_COMPORTEMENT,JURIDIQUE|TECHNIQUE|PSYCHOLOGIQUE|POLITIQUE|SOCIALE|SCIENTIFIQUE,« Protection des enfants » = cheval de Troie du contrôle.,"Discours Macron 14 juil.2025 : « on est en train de perdre notre indépendance émotionnelle et cognitive » — si l'info non filtrée menace la santé mentale, la censure devient mesure sanitaire. PhotoDNA (Thorn/Kutcher) : taux faux positifs 58% (LinkedIn, Princeton), mais promet 1/50 milliards.",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/ce-que-macron-appelle-protection
75,2026-01-28,NOT_REVERIFIED,186127641.limpasse-persique-pourquoi-loccident,🏯⚔️ L’Impasse Persique : Pourquoi l’Occident a déjà perdu la Guerre de l’Iran,"défense, Europe, géopolitique",DIRECT,LEAD_REVERIFY,MIXED,NONE_IN_EXPORT,1048,0,UE|USA|RUSSIE|ISRAEL|CHINE|IRAN,INGERENCE_ETRANGERE|GUERRE_SECURITE,,L'Occident a déjà perdu.,Dôme S-400/HQ-98 : Russie + Chine fusionnent leurs technologies pour verrouiller le ciel iranien. F-35 et RQ-4 Global Hawk neutralisés avant d'approcher Ormuz.,,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/limpasse-persique-pourquoi-loccident
76,2026-01-28,NOT_REVERIFIED,186057704.letat-qui-veut-tout-controler-mais,"🇫🇷  L'État qui veut tout contrôler, mais échoue à tout — La France qui contrôle TikTok mais abandonne 396 900 enfants ASE","démocratie, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,857,0,ETAT_FR|UE|PLATEFORMES_BIGTECH,FINANCEMENT_FLUX|DROIT_REGULATION|SURVEILLANCE_DONNEES|ELECTION_CONSENTEMENT|COERCITION_ADMIN|GUERRE_SECURITE,JURIDIQUE|TECHNIQUE|POLITIQUE|SOCIALE|SCIENTIFIQUE,État qui contrôle TikTok mais abandonne 396 900 enfants ASE.,"État qui contrôle TikTok mais abandonne 396 900 enfants ASE. Loi 26 janv.2026 (interdiction réseaux -15 ans) adoptée 48h — mais app vérif âge testée dès juil.2025, contrat T-Scy 4 M€ depuis fév.2025, EIDAS 2.0 mai 2024.",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/letat-qui-veut-tout-controler-mais
77,2026-01-26,NOT_REVERIFIED,185893876.budget-2026-larchitecture-du-mensonge,🏛️ Budget 2026 : L’Architecture du Mensonge,"système, économie",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,NONE_IN_EXPORT,2290,0,ETAT_FR,FINANCEMENT_FLUX|CADRAGE_NARRATIF|ELECTION_CONSENTEMENT,POLITIQUE|ECONOMIQUE|NARRATIVE,37 Md€ de hausses d'impôts cachés.,"37 Md€ de hausses d'impôts cachés. Lecornu jure « aucune hausse d'impôts », mais 11 mesures dispersées.",,"Recettes imaginaires : 14 Md€ annoncés, seulement 7 Md€ réels — le reste = hypothèses.",https://giak.substack.com/p/budget-2026-larchitecture-du-mensonge
78,2026-01-25,NOT_REVERIFIED,185731731.lagriculture-au-scanner-autopsie,🧑‍🌾L’agriculture au scanner : autopsie générale d’une liquidation et manifeste de la terre,"agriculture, système, contrôle, Europe, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,12852,0,UE|LOBBIES_THINKTANKS,FINANCEMENT_FLUX|LOBBYING_RESEAUX|DROIT_REGULATION|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|CORRUPTION_TRAFFIC|ELECTION_CONSENTEMENT|COERCITION_ADMIN,TECHNIQUE|SCIENTIFIQUE,Autopsie de la liquidation agricole.,"PAC : créée 1962, devenue machine à concentrer. 92% données PAC opaques (51,5 Md€ dissimulés vs 4,5 déclarés).",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/lagriculture-au-scanner-autopsie
79,2026-01-20,NOT_REVERIFIED,185160908.annie-genevard-plus-de-cas-de-dnc,"📢 Annie Genevard : ""Plus de cas de DNC"" — La communication qui cache la réalité","agriculture, Europe",SUPPORTING,SUPPORT_RECHECK,MIXED,NONE_IN_EXPORT,359,0,UE,CADRAGE_NARRATIF,NARRATIVE|COMMUNICATION|MARKETING_PR,"Framing positif : Genevard tweete « très bonne nouvelle, plus de cas de DNC » — mais zones réglementées persistent en Ariège, Hautes-Pyrénées, Haute-Garonne, Aude.",93% cheptel vacciné mais exportation toujours interdite. Salon Agriculture sans vaches (1ère fois depuis 1964).,,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/annie-genevard-plus-de-cas-de-dnc
80,2026-01-16,NOT_REVERIFIED,184748463.la-derniere-recolte-autopsie-dune,🚜 LA DERNIÈRE RÉCOLTE : AUTOPSIE D’UNE LIQUIDATION 💀,"agriculture, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,NONE_IN_EXPORT,1812,0,UE,CADRAGE_NARRATIF|COERCITION_ADMIN,NARRATIVE,Liquidation agricole — le spectacle masque la réalité.,"Tracteurs à Paris (13 janv.) = opération de containment : pendant que les caméras filment l'Étoile, l'UE donne feu vert technique final Mercosur (9 janv.). Mensonge Lecornu : souveraineté agricole en tweet, mais PLF 2026 = -11,6% AE agriculture (−551 M€).",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/la-derniere-recolte-autopsie-dune
81,2026-01-11,NOT_REVERIFIED,184196064.letat-mafia-autopsie-dune-liquidation,🐙 L’ÉTAT-MAFIA : AUTOPSIE D’UNE LIQUIDATION,corruption,SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,NONE_IN_EXPORT,1225,0,ETAT_FR|UE|ENTREPRISES_FINANCE|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|CORRUPTION_TRAFFIC|GUERRE_SECURITE,ECONOMIQUE|SOCIALE|SCIENTIFIQUE,Acte d'accusation : l'État français est devenu un liquidateur mafieux.,"14 crimes documentés. Immobilier : DPE rend G/F indignes → −20-30% valeur, CDC Habitat/BlackRock rachètent à prix bradé, rénovent avec MaPrimeRénov'.",,Traçabilité externe absente de l’HTML exporté : les claims matériels doivent être revalidés avant réemploi.,https://giak.substack.com/p/letat-mafia-autopsie-dune-liquidation
82,2026-01-07,NOT_REVERIFIED,183123537.lempire-du-mensonge-rapport-dautopsie,L'EMPIRE DU MENSONGE : rapport d'autopsie d'une civilisation sous anesthésie,"Europe, géopolitique, philosophie",DIRECT,LEAD_REVERIFY,ASSERTIVE,SPARSE,15279,2,ETAT_FR|UE|CITOYENS_MOUVEMENTS,CADRAGE_NARRATIF|ELECTION_CONSENTEMENT|PSYCHO_COMPORTEMENT|GUERRE_SECURITE,PSYCHOLOGIQUE|ANTHROPOLOGIQUE|NARRATIVE|COMMUNICATION,Rapport d'autopsie d'une civilisation en état de falsification systémique.,Rapport d'autopsie d'une civilisation en état de falsification systémique. Thèse : tout ce qui a été construit peut être déconstruit — les lois sont du papier.,,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/lempire-du-mensonge-rapport-dautopsie
